Epic,Story,Task,Description,Acceptance Criteria,Phase,Week,Priority,Story Points,Status,Assignee,Labels
Foundation,Project Setup,Initialize Next.js Project,"Set up Next.js 14 with TypeScript, Tailwind CSS, and shadcn/ui scaffold",Project runs locally without errors; TypeScript strict mode enabled; Tailwind configured,Phase 1,1,High,3,Not Started,,setup
Foundation,Project Setup,Configure Environment Variables,"Create .env.example with NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_KEY, ANTHROPIC_API_KEY",All required env vars documented and validated at build time,Phase 1,1,High,2,Not Started,,config
Foundation,Supabase Setup,Initialize Supabase Project,"Create Supabase project, configure auth providers, set up PostgreSQL database",Supabase project created; auth enabled; database accessible; migrations structure in place,Phase 1,1,High,5,Not Started,,backend
Foundation,Supabase Setup,Design & Create Database Schema,"Create tables for users, contracts, extractions, payment_schedules, risk_flags",All tables created with RLS policies; foreign keys defined; indexes on frequently queried columns,Phase 1,1,High,5,Not Started,,database
Foundation,Supabase Setup,Implement Row-Level Security (RLS),"Add RLS policies to all tables to ensure users can only access their own data","Users can only read/write their own contracts; RLS policies tested; no data leakage",Phase 1,1,High,5,Not Started,,security
Foundation,Landing Page,Design & Build Landing Page,"Create landing page with value prop, construction contract benefits, CTA to upload",Page responsive on mobile/tablet/desktop; copy emphasizes construction-specific value; upload CTA is prominent,Phase 1,1,High,5,Not Started,,frontend
Foundation,Landing Page,Create Upload Modal Component,"Build file upload widget that accepts .docx and .pdf files",Drag-and-drop works; file validation on client-side (docx/pdf only); file size limits enforced,Phase 1,2,High,5,Not Started,,frontend
Foundation,Claude API,Set Up Claude API Client,"Create TypeScript client for Anthropic API with error handling and retry logic",Client instantiated with API key; requests retry on transient errors; usage tracking in place,Phase 1,1,High,3,Not Started,,backend
Foundation,Claude API,Build Contract Analysis Prompt,"Engineer and test extraction prompt for payment terms, dates, risk flags","Prompt extracts: payment method, amount, schedule, retainage %, lien waiver terms, completion milestones",Phase 1,1,High,5,Not Started,,ai
Foundation,Claude API,Implement Structured Output Parsing,"Parse Claude response into typed ContractExtraction object",Extracted data matches schema; fallback handling for partial extractions; error messages clear,Phase 1,2,High,5,Not Started,,backend
Foundation,Authentication,Set Up Supabase Auth Routes,"Implement sign-up, login, logout, password reset flows",Users can register and log in; auth state persists; logout clears session; password reset sends email,Phase 1,2,High,5,Not Started,,auth
Foundation,Authentication,Create Protected Routes & Middleware,"Implement Next.js middleware to protect dashboard and API routes",Unauthenticated users redirected to login; dashboard routes require session; API routes check auth headers,Phase 1,2,High,3,Not Started,,auth
